nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Dubaj,2022,pierwsza po³owa roku,178877,0.0130
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Edynburg,2023,pierwsza po³owa roku,213938,0.0112
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Edynburg,2022,pierwsza po³owa roku,175137,0.0128
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Zurych,2023,pierwsza po³owa roku,209006,0.0110
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Zurych,2022,pierwsza po³owa roku,145958,0.0106
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Manchester,2023,pierwsza po³owa roku,207720,0.0109
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Manchester,2022,pierwsza po³owa roku,152440,0.0111
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Alicante,2023,pierwsza po³owa roku,206907,0.0109
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Alicante,2022,pierwsza po³owa roku,124980,0.0091
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Bristol,2023,pierwsza po³owa roku,187639,0.0099
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Bristol,2022,pierwsza po³owa roku,130929,0.0095
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Budapeszt,2023,pierwsza po³owa roku,174360,0.0092
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Budapeszt,2022,pierwsza po³owa roku,139164,0.0101
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Pozosta³e miasta,2023,pierwsza po³owa roku,8100487,0.4255
Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast,miêdzynarodowy ruch regularny,Pozosta³e miasta,2022,pierwsza po³owa roku,5833829,0.4254
