nazwa_zmiennej,typ_ruchu_lotniczego,kraj,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Zurych,2022,pierwsza polowa roku,145958,0.0106
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Manchester,2023,pierwsza polowa roku,207720,0.0109
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Manchester,2022,pierwsza polowa roku,152440,0.0111
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Alicante,2023,pierwsza polowa roku,206907,0.0109
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Alicante,2022,pierwsza polowa roku,124980,0.0091
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Bristol,2023,pierwsza polowa roku,187639,0.0099
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Bristol,2022,pierwsza polowa roku,130929,0.0095
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Budapeszt,2023,pierwsza polowa roku,174360,0.0092
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Budapeszt,2022,pierwsza polowa roku,139164,0.0101
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Pozostale miasta,2023,pierwsza polowa roku,8100487,0.4255
Liczba pasazerow obsluzonych w polskich portach lotniczych wedlug miast,miedzynarodowy ruch regularny,Pozostale miasta,2022,pierwsza polowa roku,5833829,0.4254
